,question,actual_answer,category,table_id,predicted_answer
863,Who was the designers of Deadlands game in 1996?,Shane Lacy Hensley,game,1148,Question: Who was the designer of Deadlands game in
864,How many years were there between the release of the 2nd edition and the Reloaded edition of Deadlands?,7 years,game,1148,Question 3: How many years
865,How many years were there between the 1st and 2nd editions of Deadlands?,3 years,game,1148,Question: How many years were there between the 1st and
866,How many years separated Deadlands 1st edition in 1996 and its Reloaded edition?,10 years,game,1148,Question: How many years separated Deadlands 1st
867,How many years after the first edition of Deadlands was the second edition released?,3 years,game,1148,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1"
868,When was the most recent edition of Deadlands released?,2006,game,1148,Question: When was the most recent edition of Deadlands
869,When could someone first read Deadlands?,1996,game,1148,Question 3: When could someone
870,What team did Afghanistan play in the One Day Internationals the year it made its first World Cup Qualifier appearance?,Scotland,cricket team,1156,Reasoning
871,How many years did Afghanistan ICC status as Full member after Affiliate Member in 2001?,16 Years after (2017),cricket team,1156,Question 3: How many years did Afghanistan have ICC status as Full member after Aff
872,How many days ago did Afghanistan played their last ODI?,40 days ago,cricket team,1156,
873,Which team opposite did Afghanistan played test in 12 March 2021?,Zimbabwe,cricket team,1156,"India. According to the provided context, Afghanistan played test cricket against India on March 12,"
874,How long ago did Afghanistan win the championship in One Day Internationals?,4 years,cricket team,1156,Question: How long ago did Afghanistan win the championship in One Day Internationals?
875,What color was the uniform that Afghanistan wore on 9 June 2022?,Blue,cricket team,1156,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in"
876,How long did it take Afghanistan to become a full member of ICC?,16 years,cricket team,1156,
877,How many years were between Afghanistan's first ODI and last T20I?,13,cricket team,1156,1
878,How many years after Afghanistan's first World Cup appearance did it achieve full member ICC status?,2,cricket team,1156,Answer
879,How long was it between Egypt's highest FIFA ranking and its last Group stage result in the African Women's Championship?,11 years,national football team,1170,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis"
880,How many years after Egypt's biggest defeat was their biggest win?,12,national football team,1170,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
881,What team did Egypt play in their first international competition the year of their first African Women's Championship appearance?,Uganda,national football team,1170,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time"
882,How far away from their best FIFA ranking are The Cleopatras currently?,36 spots,national football team,1170,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
883,"How long in time are the Cleopatras from their best FIFA ranking, currently?",17 years,national football team,1170,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis"
884,What is the farthest that the Cleopatras ever got in the Female World Cup?,Group stage.,national football team,1170,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
