"question","actual_answer","category","table_id","predicted_answer"
"How many months after the beginning of his reign as King of Burma was Bayinnaung's coronation at Toungoo?","9","emperor","119","11 months"
"How many days after Bayinnaung died did they bury him?","5","emperor","119","5 days"
"In what year did Bayinnaung first reign?","1565","emperor","119","1550"
"How many years did Bayinnaung was ruled the Suzerain of Siam?","17 Years","emperor","119","Bayinnaung ruled as the Suzerain of Siam for 17 years, from 18 February 1564 to 10 October 1581."
"Who was the Suzerain of Lan Xang in 1582?","Nanda","emperor","119","Bayinnaung"
"Who was the king of Suzerain of Lan Na in 1560?","Mekuti","emperor","119","Bayinnaung"
"Where was the first coronation of Bayinnaung?","Toungoo","emperor","119","The first coronation of Bayinnaung was on January 11, 1551, at Toungoo."
"How old was Peter III when he became King of Aragon and Valencia Count of Barcelona?","37 years old","emperor","122","Peter III was born circa 1239, so he was approximately 37 years old when he became King of Aragon and Valencia Count of Barcelona in 1276."
"How long did Peter III rule as King of Aragon and Valencia Count of Barcelona?","9 years","emperor","122","Peter III ruled as King of Aragon and Valencia Count of Barcelona for approximately 9 years, from July 27, 1276, to November 1285."
"What was the last position held by Peter III","King of Aragon and Valencia Count of Barcelona","emperor","122","King of Aragon and Valencia"
"When did Peter III assume his first role?","4 September 1282","emperor","122","1276"
"What was the first area ruled by Peter III","Sicily","emperor","122","The first area ruled by Peter III was Aragon and Valencia, as he was the King of Aragon and Valencia from 1276 to 1285."
"How many years before the his death did Peter III begin his reign as King of Sicily?","3","emperor","122","Sure! Here's the answer to the question:Peter III began his reign as King of Sicily 3 years before his death."
"How many years did Peter III reign as King of Sicily?","3 years","emperor","122","3 years"
"How much longer was Peter III's reign as King of Aragon and Valencia Count of Barcelona than as King of Sicily?","6 years","emperor","122","Peter III's reign as King of Aragon and Valencia Count of Barcelona was 9 years, while his reign as King of Sicily was 3 years.Therefore, his reign as King of Aragon and Valencia Count of Barcelona was 6 years longer than his reign as King of Sicily."
"How old was Peter III when he started his reign as King of Aragon and Valencia Count of Barcelona?","37","emperor","122","37 years old"
"In what city did Chen Yufei win a gold medal the year of her highest ranking?","Nanning","badminton","129","Tokyo"
"What city did Chen Yufei compete in both the Asian Junior Championships and the Uber Cup?","Bangkok","badminton","129","Bangkok"
"How many gold medals has Chen Yufei won in mixed team competition?","9","badminton","129","2The question asks how many gold medals Chen Yufei has won in mixed team competition, and the answer is 2. The context provides a list of Chen Yufei's achievements, including her gold medals in mixed team competition at the Sudirman Cup in 2019 and 2021."
"Since 2013 what year did Chen Yufei not win a medal in badminton?","2021","badminton","129","2013"
"Who is the coach of Chen Yufei in 2021?","Luo Yigang","badminton","129","Luo Yigang"
"How many gold medals won by Chen Yufei in Asian Junior Championships since 2013?","5 Gold medals","badminton","129","6 gold medalsThe question asks how many gold medals Chen Yufei has won in Asian Junior Championships since 2013. According to the provided information, Chen Yufei has won 6 gold medals in Asian Junior Championships:* 2013 Kota Kinabalu (mixed team)* 2014 Taipei (mixed team)* 2015 Bangkok (mixed team)* 2016 Bangkok (girls' singles and mixed team)Therefore, the answer is 6."
"Which country did Chen Yufei was represented in 2020 Tokyo Olympic Games?","China","badminton","129","China"
"In what year did Chen Yufei win the most medals?","2016","badminton","129","The year in which Chen Yufei won the most medals is 2019. She won 3 gold medals and 1 silver medal that year, at the Sudirman Cup, World Championships, and Asian Championships."
"How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?","7","badminton","129","The gold medal at the Tokyo Olympics was won in 2020, and the gold medal at the Kota Kinabalu Asian Junior Championships was won in 2013, so the difference is 7 years."
"How many years ago did Shi Yuqi achived highest rank?","5 Years ago (2017)","badminton","166","The highest ranking achieved by Shi Yuqi was 2nd place, which he reached on August 24, 2017. Therefore, as of the current year (2022), it has been 5 years since he achieved his highest ranking."
"In what year did Shi Yuqi win the most gold medals?","2014","badminton","166","The answer to the question ""In what year did Shi Yuqi win the most gold medals?"" is 2019. According to the information provided, Shi Yuqi won 3 gold medals in 2019: one at the Sudirman Cup, one at the Thomas Cup, and one at the Asian Games."
"In what city did Shi Yuqi win a bronze medal the year of his highest ranking?","Ho Chi Minh","badminton","166","Jakarta-Palembang"
"How many years separate Yuqi's silver medal at the World Championship and his silver at the Asian Junior Championships?","6","badminton","166","The silver medal at the World Championship was won in 2018, and the silver medal at the Asian Junior Championships was won in 2012.Therefore, the difference between the two is 6 years."
"When was the first time that Shi Yuqi won a medal in the Asian Junior Championships?","2012","badminton","166","2013"
"How many medals has Shi Yuqi won after 2012?","20","badminton","166","Shi Yuqi has won 4 medals after 2012:* Silver medal - second place at the 2018 World Championships in men's singles* Gold medal - first place at the 2019 Sudirman Cup in mixed team* Gold medal - first place at the 2021 Sudirman Cup in mixed team* Silver medal - second place at the 2020 Thomas Cup in men's team"
"When was the most recent year in which Shi Yuqi won a medal?","2021","badminton","166","The most recent year in which Shi Yuqi won a medal was 2021, when he won a gold medal in the mixed team event at the Sudirman Cup."
"Which country did Shi Yuqi was represented in 2014 Youth Olympic Games?","China","badminton","166","China"
"How many Mixed Team gold medals won by Shi Yuqi in Asian Junior Championships from 2012?","Two (2013, 2014)","badminton","166","One gold medal in 2013 and one gold medal in 2014."
"How many gold medals did Wang Xiaoli win the year she was ranked number 1?","2","badminton","174","Wang Xiaoli won 3 gold medals the year she was ranked number 1."
"In what year did Wang Xiaoli win the most bronze medals?","2006","badminton","174","Wang Xiaoli won the most bronze medals in 2009, with 3 bronze medals at the East Asian Games."
"How many years separate Wang Xiaoli's gold medal at the London World Championship and her gold medal at the Asian Junior Championships?","5","badminton","174","Wang Xiaoli won the gold medal at the London World Championship in 2011, and the gold medal at the Asian Junior Championships in 2006.Therefore, the answer is 5 years."
"When was the most recent time that Wang Xiaoli received a medal in the Asian Junior Championships?","2007","badminton","174","2007"
"When was the first time that Wang Xiaoli won a medal in the World Championships?","2010","badminton","174","Wang Xiaoli's first medal in the World Championships was a gold medal in women's doubles at the 2011 London World Championships."
"How many times in 2009 did Wang Xiaoli receive a medal in the East Asian Games?","2","badminton","174","Wang Xiaoli received a medal in the East Asian Games twice in 2009. She won a gold medal in the women's team event and a silver medal in the women's doubles event."
"How many years ago did Wang Xiaoli achived Highest ranking?","8 Years ago","badminton","174","Wang Xiaoli achieved her highest ranking of 1 in women's doubles on May 22, 2014. Therefore, as of the current year (2022), it has been 8 years since she achieved her highest ranking."
"How many gold medals won by Wang Xiaoli in Olympic games from 2011?","Two","badminton","174","2Wang Xiaoli won 2 gold medals in Olympic games, specifically in 2011 London and 2013 Guangzhou, both in women's doubles."
"What was the age when Wang Xiaoli won first gold medal in Asian Junior Championships 2006?","Age of 17","badminton","174","17 years old"
"How many years did B-24 Skua was in active service as bomber/fighter?","3 Years","aircraft","226","The B-24 Skua was in active service as a bomber/fighter for approximately 3 years, from November 1938 to 1941."
"How many B-24 Skua was built in between 1937-1941?","192","aircraft","226","192"
"How many years ago did B-24 Skua was first flighted?","85 Years ago","aircraft","226","85 years ago"
"What year was the B-24 Skua introduced?","1938","aircraft","226","1938"
"How many years was it after the first flight was the B-24 Skua introduced?","1 year","aircraft","226","It was introduced 1 year after the first flight."
