question,answer,table_id,answer_type,is_temporal,answer_old,answer_timeunit
How many years apart were Australia's two biggest defeats?,20,1166,COUNT,Is temporal,20,year
What year did the Australian team gain its best result in the Summer Olympics?,1992,1166,TEMPORAL,Is temporal,1992,year
What year did the Australian team make its first Summer Olympics appearance?,2013,1166,TEMPORAL,Is temporal,2013,year
How many years after did England won the T20 World Cup since their first T20I in 2005?,Aftter 5 Years (2010),1172,TEMPORAL,Is temporal,Aftter 5 Years (2010),not defined
How many years ago did England acquired test status?,145 Years ago (1877),1172,TEMPORAL,Is temporal,145 Years ago (1877),not defined
How many years are between England's first ODI and first T20I?,34,1172,COUNT,Is temporal,34,year
How long after their first appearance in a World Cup did it take England to win a Championship?,44 years,1172,TEMPORAL,Is temporal,44 years,year
How many years after England acquired its test status did it achieve full ICC status?,32,1172,COUNT,Is temporal,32,year
When was the most recent publication of FATE?,2013,1175,TEMPORAL,Is temporal,2013,year
How many years after the first publication of FATE was the second publication?,3,1175,COUNT,Is temporal,3,year
When was the first year that FATE was published?,2003,1175,TEMPORAL,Is temporal,2003,year
How many years did Probe game was active?,18 Years,1188,TEMPORAL,Is temporal,18 Years,year
How long after the last publication of Probe was it no longer active?,6 years,1188,TEMPORAL,Is temporal,6 years,year
How many years after the publication of #112 was the publication of #202?,12,1188,COUNT,Is temporal,12,year
What year was Probe originally released?,1964,1188,TEMPORAL,Is temporal,1964,year
How many years was Probe in production?,18 years,1188,TEMPORAL,Is temporal,18 years,year
How many years difference was there between the first Srilankan T20I and the last T20I?,40 years,1191,TEMPORAL,Is temporal,40 years,year
How long did Sri Lanka take from being an ICC Associate member to full member?,16 years,1191,TEMPORAL,Is temporal,16 years,year
How long did it take for Sri Lanka to become a full member after attaining its Associate Member ICC status?,16 years,1191,TEMPORAL,Is temporal,16 years,year
When did Sri Lanka make its first World Cup appearance?,1975,1191,TEMPORAL,Is temporal,1975,not defined
What year did Sri Lanka gain its Associate Member ICC status?,1965,1191,TEMPORAL,Is temporal,1965,year
How long after Sri Lanka's first ODI and first T20I?,31 years,1191,TEMPORAL,Is temporal,31 years,year
What is the time span for World Test Championship appearances for Srilanka?,2 year,1191,TEMPORAL,Is temporal,2 year,year
How many month ago did Ingenuity was deployed to mars?,15 months ago,1206,TEMPORAL,Is temporal,15 months ago,not defined
How many days did Ingenuity was flyed in mars?,418 days,1206,TEMPORAL,Is temporal,418 days,not defined
How long did Ingenuity take to go from deployment to it's last flight?,14 months,1206,TEMPORAL,Is temporal,14 months,not defined
How long did it take for Ingenuity to go from Deployment to first flight?,16 days,1206,TEMPORAL,Is temporal,16 days,not defined
How long was it between the day of Ingenuity's first flight and its last flight?,2 months,1206,TEMPORAL,Is temporal,2 months,not defined
How many years did the Ingenuity fly?,1 year,1206,TEMPORAL,Is temporal,1 year,year
How many days did Ingenuity take from date of deployment to its first flight?,16 days,1206,TEMPORAL,Is temporal,16 days,not defined
How much time since deployment did it take for Ingenuity to travel 7.17 km?,1 year 2 months,1206,TEMPORAL,Is temporal,1 year 2 months,not defined
How long after Ingenuity was deployed was the picture taken?,4 days,1206,TEMPORAL,Is temporal,4 days,not defined
